name,category,met_value
Single-Arm Triceps Extension,Upper Body,5.0
Cross-Body Hammer Curl,Upper Body,5.0
Incline Hammer Curl,Upper Body,5.0
Machine Preacher Curl,Upper Body,5.0
Barbell Split Squat,Lower Body,6.0
Deficit Reverse Lunge,Lower Body,6.0
Curtsy Lunge,Lower Body,5.5
Cossack Squat,Lower Body,5.0
Sissy Squat,Lower Body,5.0
Belt Squat,Lower Body,5.5
Spanish Squat,Lower Body,5.0
Nordic Hamstring Curl,Lower Body,5.0
Good Morning,Lower Body,5.5
Cable Pull-Through,Lower Body,5.0
Glute-Ham Raise,Lower Body,5.0
Hip Abduction Machine,Lower Body,4.5
Hip Adduction Machine,Lower Body,4.5
Single-Leg Press,Lower Body,5.5
Single-Leg Romanian Deadlift,Lower Body,5.5
Single-Leg Glute Bridge,Lower Body,4.5
Frog Pump,Lower Body,4.0
Banded Lateral Walk,Lower Body,4.0
Reverse Hyperextension,Lower Body,5.0
Tibialis Raise,Lower Body,4.0
Smith Machine Bench Press,Push,5.5
Smith Machine Incline Press,Push,5.5
Smith Machine Shoulder Press,Push,5.5
Machine Incline Chest Press,Push,5.5
Machine Decline Chest Press,Push,5.5
High-to-Low Cable Fly,Push,5.0
Low-to-High Cable Fly,Push,5.0
Diamond Push-up,Push,7.5
Handstand Push-up,Push,7.5
Deficit Push-up,Push,7.5
Archer Push-up,Push,7.5
Pseudo Planche Push-up,Push,8.0
Ring Push-up,Push,7.5
Ring Dip,Push,7.5
Neutral-Grip Pulldown,Pull,5.0
Close-Grip Pulldown,Pull,5.0
Wide-Grip Pulldown,Pull,5.0
Single-Arm Pulldown,Pull,5.0
Kroc Row,Pull,6.0
Chest-Supported T-Bar Row,Pull,5.5
Rope Face Pull,Pull,5.0
Cable Rear-Delt Row,Pull,5.0
Dumbbell High Row,Pull,5.5
Barbell High Row,Pull,5.5
Reverse-Grip Barbell Row,Pull,6.0
Trap Bar Deadlift,Legs,6.0
Deficit Deadlift,Legs,6.0
Cat-Cow,Mobility & Recovery,2.3
World's Greatest Stretch,Mobility & Recovery,2.3
90/90 Hip Switch,Mobility & Recovery,2.3
Thread the Needle,Mobility & Recovery,2.3
Child's Pose,Mobility & Recovery,2.3
Downward Dog,Mobility & Recovery,2.3
Cobra Stretch,Mobility & Recovery,2.3
Pigeon Pose,Mobility & Recovery,2.3
Deep Squat Hold,Mobility & Recovery,2.5
Shoulder Dislocates,Mobility & Recovery,2.3
Ankle Mobility Rocks,Mobility & Recovery,2.3
Thoracic Rotations,Mobility & Recovery,2.3
Hip Flexor Stretch,Mobility & Recovery,2.3
Hamstring Stretch,Mobility & Recovery,2.3
Quad Stretch,Mobility & Recovery,2.3
Calf Stretch,Mobility & Recovery,2.3
Chest Opener Stretch,Mobility & Recovery,2.3
Lat Stretch,Mobility & Recovery,2.3
Adductor Stretch,Mobility & Recovery,2.3
Figure-Four Stretch,Mobility & Recovery,2.3
Barbell Hack Squat,Legs,6.0
Jefferson Squat,Legs,5.5
Zercher Squat,Strength Training,6.0
Anderson Squat,Strength Training,6.0
Pause Squat,Strength Training,6.0
Box Squat,Strength Training,6.0
Pin Squat,Strength Training,6.0
Deficit Squat,Legs,6.0
Front-Foot Elevated Split Squat,Lower Body,5.5
Lateral Lunge,Lower Body,5.5
Walking Lateral Lunge,Lower Body,6.0
Reverse Nordic Curl,Lower Body,4.5
Hamstring Walkout,Lower Body,5.0
Cable Glute Kickback,Lower Body,4.5
Cable Hip Abduction,Lower Body,4.5
Cable Hip Adduction,Lower Body,4.5
Standing Hip Flexion,Lower Body,4.0
Machine Glute Drive,Lower Body,5.0
Barbell Hip Extension,Lower Body,5.0
B-Stance Hip Thrust,Lower Body,5.0
Floor Dumbbell Press,Push,5.0
Close-Grip Dumbbell Press,Push,5.0
Reverse-Grip Bench Press,Push,5.5
Guillotine Press,Push,5.0
Cable Press-Around,Push,5.0
Dumbbell Arnold Push Press,Push,6.0
Cable Upright Press,Push,5.0
Cable Low Row,Pull,5.0
Cable Lat Prayer,Pull,5.0
Reverse-Grip Pulldown,Pull,5.0
Machine High Row,Pull,5.0
Single-Arm Machine Pulldown,Pull,5.0
